strategy,bandit,align_mode,seed,final_avg_care,mean_forgetting,backward_transfer,forgetting_A
naive,off,adapter,0,0.6026668494227062,0.009299298247617938,-0.009299298247617938,-0.0004422104315863207
naive,off,adapter,1,0.5937066963671009,0.019755431344830765,-0.019755431344830765,0.003538833087583959
naive,off,adapter,2,0.6030825603231907,0.007867469098513769,-0.007867469098513769,-2.8347148326779426e-05
joint,off,adapter,0,0.6026668494227062,0.0,0.0,
joint,off,adapter,1,0.5937066963671009,0.0,0.0,
joint,off,adapter,2,0.6030825603231907,0.0,0.0,
ewc,off,adapter,0,0.5964670254060602,0.01126309185724128,-0.01126309185724128,-0.011285091096277289
ewc,off,adapter,1,0.6054008399069001,0.0021691792824278244,-0.0021691792824278244,-0.005076156509938201
ewc,off,adapter,2,0.611485230041032,-0.0064925526165825476,0.0064925526165825476,-0.02402598377499443
replay,off,adapter,0,0.6072990217469671,-0.0021854109243340525,0.0021854109243340525,-0.0037112578348996728
replay,off,adapter,1,0.6081581639963493,-0.0026750498727274308,0.0026750498727274308,-0.004561854243398833
replay,off,adapter,2,0.60469403198261,0.0044032755783711686,-0.0044032755783711686,0.006195800484673719
distill,off,adapter,0,0.5981327961926723,0.006065125145512662,-0.006065125145512662,-0.001440598236418289
distill,off,adapter,1,0.5938039389092832,0.014033462949798903,-0.014033462949798903,0.003672664115241475
distill,off,adapter,2,0.590056785955688,0.018623904156380544,-0.018623904156380544,0.0003868847696937294
replay_distill,off,adapter,0,0.6065726074597355,-0.005358217994548331,0.005358217994548331,-0.005122199207649891
replay_distill,off,adapter,1,0.6072558661730961,-0.004358684313961192,0.004358684313961192,-0.003179447770213728
replay_distill,off,adapter,2,0.607131583459871,-0.003918739933054138,0.003918739933054138,-0.002729665635840983
