strategy,bandit,align_mode,seed,stage,farm,CARE,coverage,earliness,reliability,accuracy,recon_loss,threshold
naive,off,adapter,0,A,A,0.6185773451151925,0.30998361723515816,0.08424268184372334,0.7746478873239436,0.9620062695865687,0.042197040473729325,0.055514611303806305
naive,off,adapter,0,B,A,0.6401000281724298,0.3695974193994974,0.1291244688546125,0.7746478873239436,0.963565182642048,2.429078421618998,4.673452377319336
naive,off,adapter,0,B,B,0.5702452491871918,0.22486177271018412,0.05605301822449719,0.6666666666666666,0.9518223941673054,7.058408557838617,0.25184915214776993
naive,off,adapter,0,C,A,0.6190195555467788,0.3008448047701176,0.08324579357040988,0.7746478873239436,0.9681796460347115,1.3213063212337028,2.5331639647483826
naive,off,adapter,0,C,B,0.5512044422603696,0.13711927965515855,0.03172290509463486,0.6666666666666666,0.9602566799426939,11.788235370900559,1.7656885385513306
naive,off,adapter,0,C,C,0.63777655046097,0.3367897366069802,0.22017360619498996,0.7741935483870968,0.9288629305578914,355.37706726864815,0.6199149340391159
naive,off,adapter,1,A,A,0.6211564453216812,0.31684036013109546,0.08698663862362124,0.7746478873239436,0.9636536702648729,0.039851668224967565,0.05124171823263168
naive,off,adapter,1,B,A,0.6079272075617345,0.31817342985572816,0.10321054223085656,0.704225352112676,0.9570133568047058,1.929046257137904,4.01153028011322
naive,off,adapter,1,B,B,0.5706773350644102,0.2189786843094157,0.05321808300517969,0.6666666666666666,0.9572616206703946,6.627418210235029,0.2418585032224654
naive,off,adapter,1,C,A,0.6176176122340973,0.2927571666597734,0.08181479996653686,0.7746478873239436,0.9694341036101162,1.5816852767282041,3.251009941101074
naive,off,adapter,1,C,B,0.5347053054623326,0.15380769090229165,0.037016691850925446,0.5882352941176471,0.9472334252203994,10.701677854997598,1.8422719538211818
naive,off,adapter,1,C,C,0.6287971714048731,0.31026429399104133,0.20219125777083516,0.7741935483870968,0.9286683784376961,356.5026391409388,0.6120903849601743
naive,off,adapter,2,A,A,0.6217484484026293,0.3162385822011325,0.08559533982175777,0.7746478873239436,0.9661302163331563,0.04216667383981739,0.050120466388762
naive,off,adapter,2,B,A,0.6130983389292577,0.30653562782894334,0.08429958875073187,0.746268656716418,0.9641939106750979,1.7389729818239061,4.124094724655151
naive,off,adapter,2,B,B,0.57112076220694,0.2205277193865557,0.053769716979174535,0.6666666666666666,0.9573198540011515,6.8231183356650495,0.23569037765264506
naive,off,adapter,2,C,A,0.6217767955509561,0.30750407647020805,0.09174971194133291,0.7746478873239436,0.9674911510096481,1.674429047507202,3.004600167274475
naive,off,adapter,2,C,B,0.5553574768615857,0.17494788029195718,0.04291022835999378,0.6666666666666666,0.9461313044946554,11.458885995369936,1.8697454631328572
naive,off,adapter,2,C,C,0.6321134085570306,0.31707852113722435,0.20629804557477377,0.7741935483870968,0.9314984638430291,358.10661467072595,0.6321924686431882
