strategy,bandit,align_mode,seed,final_avg_care,mean_forgetting,backward_transfer,forgetting_A
naive,off,shared_only,0,0.5570314035646521,0.0508762164903676,-0.0508762164903676,0.0508835485309309
naive,off,shared_only,1,0.5390103054336387,0.051307436782899,-0.051307436782899,0.0859633424317743
naive,off,shared_only,2,0.5884248150400918,-0.0052973110485738,0.0052973110485738,0.021916914813025
joint,off,shared_only,0,0.576266690378836,0.0,0.0,
joint,off,shared_only,1,0.5799004687323969,0.0,0.0,
joint,off,shared_only,2,0.5732177164631458,0.0,0.0,
ewc,off,shared_only,0,0.5448279659808909,0.0647341013922002,-0.0647341013922002,0.0825132480040128
ewc,off,shared_only,1,0.5555660639387444,0.0393545528115796,-0.0393545528115796,0.0528273010925012
ewc,off,shared_only,2,0.5595837344478233,0.0196945398492238,-0.0196945398492238,0.0316297221683528
replay,off,shared_only,0,0.5700219080901467,0.0054422609864507,-0.0054422609864507,0.0431268600423072
replay,off,shared_only,1,0.5591786413518895,0.0174233233054077,-0.0174233233054077,0.0636055604279136
replay,off,shared_only,2,0.5828050234121368,0.0171726460851626,-0.0171726460851626,0.0329955488851002
distill,off,shared_only,0,0.5550544973956333,0.0524272206940108,-0.0524272206940108,0.0621500810120612
distill,off,shared_only,1,0.5516878592976441,0.0322264192714708,-0.0322264192714708,0.0723379282715854
distill,off,shared_only,2,0.5569334649061836,0.0299176641617296,-0.0299176641617296,0.0462034573580969
replay_distill,off,shared_only,0,0.5867554199142806,0.0001758657155753,-0.0001758657155753,0.0035552408567914
replay_distill,off,shared_only,1,0.5583932535309125,0.022160644173196,-0.022160644173196,0.0468844255845488
replay_distill,off,shared_only,2,0.580195299840082,-0.0056056019843936,0.0056056019843936,0.0084018623593472
