strategy,bandit,align_mode,seed,stage,farm,CARE,coverage,earliness,reliability,accuracy,recon_loss,threshold
naive,off,shared_only,0,A,A,0.6316304262832221,0.335902470531302,0.0972645882888164,0.7936507936507936,0.9656671394725992,3.586557128361559e-05,2.8152127924840897e-05
naive,off,shared_only,0,B,A,0.5979652449922634,0.2003194802317041,0.0571964466100348,0.7936507936507936,0.9693297522343922,0.0003016023813382,0.0012684669345617
naive,off,shared_only,0,B,B,0.5533331517536182,0.1256685492893955,0.0299253370295262,0.6666666666666666,0.9722026028912512,0.0001724356132699,0.0002296189581102
naive,off,shared_only,0,C,A,0.5807468777522912,0.1719585935579546,0.0479704485882525,0.746268656716418,0.9687683449494154,0.0022956237792696,0.0110436733812093
naive,off,shared_only,0,C,B,0.5024642673038138,0.1408066213060637,0.0353579718464467,0.5,0.9180783716832792,0.0049690466496155,0.0190845746546983
naive,off,shared_only,0,C,C,0.5878830656378515,0.1590958152440825,0.1063510294058701,0.7361963190184049,0.96888608226045,0.0002533386832651,4.828153032576665e-05
naive,off,shared_only,1,A,A,0.6268177640967277,0.3544983492222662,0.1072508902197832,0.746268656716418,0.9630354621625856,7.730895443758418e-05,4.168826490058564e-05
naive,off,shared_only,1,B,A,0.6178447103998742,0.3054149464943428,0.1028283921392532,0.746268656716418,0.9673557783246785,0.0003624170706103,0.0010067051043733
naive,off,shared_only,1,B,B,0.525896700271506,0.222708100721608,0.0573966321578546,0.5,0.9246893842390338,0.000165648867936,3.4476010841899535e-05
naive,off,shared_only,1,C,A,0.5408544216649533,0.1529428962197469,0.0399769399411439,0.6024096385542169,0.9544713168048294,0.0022299411713316,0.0115177731961011
naive,off,shared_only,1,C,B,0.5092451691374824,0.1677302773445098,0.041498028928015,0.5,0.9184987697074436,0.0095079590708379,0.0083607910200953
naive,off,shared_only,1,C,C,0.5669313254984802,0.1577885292141514,0.1088997101755984,0.6424581005586593,0.962755143771996,0.0006841502569679,0.0004864864458795
naive,off,shared_only,2,A,A,0.6172287426944782,0.3231563497643457,0.0915818680004829,0.746268656716418,0.9625684194955724,6.243354337925642e-05,4.5287430839380186e-05
naive,off,shared_only,2,B,A,0.5918848563707175,0.2948915672837091,0.1049088954943244,0.6329113924050633,0.9633562133352456,0.0005733813573548,0.0016012378036975
naive,off,shared_only,2,B,B,0.5378987782419784,0.2126461978430781,0.0595765320434347,0.5263157894736842,0.9454776859248474,0.0001423651865604,3.0468258046312258e-05
naive,off,shared_only,2,C,A,0.5953118278814532,0.2719375509348798,0.0852295772196112,0.704225352112676,0.9575833295700494,0.0009170433158675,0.0024215918267145
naive,off,shared_only,2,C,B,0.5704103151521511,0.2406264521644839,0.060702033695929,0.7142857142857143,0.9182186878073142,0.0008161175587737,0.0013917204225435
naive,off,shared_only,2,C,C,0.5995523020866713,0.1663935176835157,0.1029721901577999,0.7741935483870968,0.977101127102472,0.0013600964141517,8.702391642145813e-05
joint,off,shared_only,0,C,A,0.5695327710881715,0.1684273620006024,0.0389872559909599,0.746268656716418,0.9469902903664384,0.0004995115830666,0.0010454235423821
joint,off,shared_only,0,C,B,0.5672269788013239,0.2004435994162452,0.0522559186567397,0.6578947368421053,0.9627703195457646,0.0007619821915516,0.0010530931176617
joint,off,shared_only,0,C,C,0.5920403212470127,0.1434080214391761,0.0955605522940377,0.7615894039735099,0.9798218142641696,0.0017518260531928,0.001000146032311
joint,off,shared_only,1,C,A,0.604449419939556,0.2729050754789932,0.075685398416777,0.746268656716418,0.963693984542796,6.396272969241666e-05,4.762336175190285e-05
joint,off,shared_only,1,C,B,0.5530710876203926,0.2207182259885893,0.0606106838370502,0.5882352941176471,0.9478956170793382,4.29170897606646e-05,5.732971476390958e-05
joint,off,shared_only,1,C,C,0.5821808986372421,0.1689958513339288,0.0998709933273037,0.7361963190184049,0.9529206647532864,0.0014756833018101,2.95816280413419e-05
joint,off,shared_only,2,C,A,0.5697625517811191,0.1547886284269715,0.0383534866402788,0.746268656716418,0.9547009935609636,0.0004942353424433,0.0015031768707558
joint,off,shared_only,2,C,B,0.5830680918809902,0.3620488362102924,0.12988552500473,0.5952380952380952,0.9140840014759166,0.0005914100873275,0.0009370126063004
joint,off,shared_only,2,C,C,0.5668225057273283,0.1373063692881077,0.1010451740275858,0.7017543859649122,0.9470032996780178,0.0009510242573587,0.0008120151469483
ewc,off,shared_only,0,A,A,0.6316304262832221,0.335902470531302,0.0972645882888164,0.7936507936507936,0.9656671394725992,3.586557128361559e-05,2.8152127924840897e-05
ewc,off,shared_only,0,B,A,0.5668541909790074,0.1273664855119983,0.0282679189085671,0.746268656716418,0.9661839468790266,0.0005281196630833,0.0023959148558787
ewc,off,shared_only,0,B,B,0.5494457725559617,0.0974210944128878,0.0215223084819768,0.6666666666666666,0.9808093966091388,0.0002550204250123,0.0004542784721706
ewc,off,shared_only,0,C,A,0.5491171782792093,0.1528935007083926,0.0410842793423654,0.6329113924050633,0.9593483594701124,0.0027220841114469,0.0121350269764661
ewc,off,shared_only,0,C,B,0.502490817775574,0.1324574840464533,0.0331027075561642,0.5,0.923446948637626,0.0050727690651118,0.0167401277460156
ewc,off,shared_only,0,C,C,0.5828759018878895,0.1460724280535923,0.1058400734490006,0.7232704402515723,0.9695982838426412,0.000927469474969,0.0002290059055667
ewc,off,shared_only,1,A,A,0.6268177640967277,0.3544983492222662,0.1072508902197832,0.746268656716418,0.9630354621625856,7.730895443758418e-05,4.168826490058564e-05
ewc,off,shared_only,1,B,A,0.6156387426147818,0.3029187741459263,0.1032815536400596,0.746268656716418,0.9628623642857528,0.0007801442319292,0.0026294789277017
ewc,off,shared_only,1,B,B,0.5347032048352836,0.2297968601410914,0.0589819896491535,0.5263157894736842,0.9292106924562444,0.0001575765417083,2.9678754799533635e-05
ewc,off,shared_only,1,C,A,0.5739904630042265,0.1564763467744313,0.0430045350758097,0.746268656716418,0.9621013882272368,0.0005684599927612,0.0021032257936894
ewc,off,shared_only,1,C,B,0.5088214003046254,0.1687149739062719,0.0418351839054577,0.5,0.9167784218556986,0.0062976836236473,0.0037516139098443
ewc,off,shared_only,1,C,C,0.5838863285073815,0.1548887648230642,0.1038454729599238,0.7232704402515723,0.9687134822511736,0.0002706809104718,0.0001071474907803
ewc,off,shared_only,2,A,A,0.6172287426944782,0.3231563497643457,0.0915818680004829,0.746268656716418,0.9625684194955724,6.243354337925642e-05,4.5287430839380186e-05
ewc,off,shared_only,2,B,A,0.5840864193339262,0.2689529929949067,0.0940578935111316,0.6329113924050633,0.9622549088792648,0.0007118784456441,0.0023476502392441
ewc,off,shared_only,2,B,B,0.5269759113971821,0.1968213243167915,0.0496746019908684,0.5172413793103449,0.935571125683953,0.0001385912484122,5.199840106797636e-05
ewc,off,shared_only,2,C,A,0.5855990205261254,0.2070841335487115,0.0532002401096603,0.746268656716418,0.9607210361279188,0.0020203100114913,0.0051563936052843
ewc,off,shared_only,2,C,B,0.5192165538670872,0.1498952922025026,0.0361914811024532,0.5555555555555556,0.9272202202374624,0.0016929435990373,0.0041068037971854
ewc,off,shared_only,2,C,C,0.5739356289502573,0.100393451868925,0.0740607366507203,0.7615894039735099,0.9668172761290657,0.0010412805501437,0.0012340428074821
replay,off,shared_only,0,A,A,0.6316304262832221,0.335902470531302,0.0972645882888164,0.7936507936507936,0.9656671394725992,3.586557128361559e-05,2.8152127924840897e-05
replay,off,shared_only,0,B,A,0.6080888971180433,0.2456078819777777,0.0625472597318004,0.7936507936507936,0.9693192751149224,2.423974684988644e-05,2.387323183938861e-05
replay,off,shared_only,0,B,B,0.5173132814417707,0.2296999992764426,0.0658794720904835,0.4347826086956521,0.9281021635731376,0.0001132956259685,2.2584024554817e-05
replay,off,shared_only,0,C,A,0.5885035662409148,0.2448308355670194,0.0781083882898904,0.704225352112676,0.957676627617494,9.168145709702574e-05,0.000232517090626
replay,off,shared_only,0,C,B,0.5495556195111765,0.1124851342817703,0.0272191249850609,0.6666666666666666,0.970703585811192,0.0001809111487454,0.0002448034938424
replay,off,shared_only,0,C,C,0.572006538518349,0.0941675956586029,0.0792654010461664,0.7419354838709677,0.972332106008004,0.0004808799962578,0.0002908752649091
replay,off,shared_only,1,A,A,0.6268177640967277,0.3544983492222662,0.1072508902197832,0.746268656716418,0.9630354621625856,7.730895443758418e-05,4.168826490058564e-05
replay,off,shared_only,1,B,A,0.6030801058524724,0.272721860190568,0.0729226884216415,0.746268656716418,0.9617436619668672,0.0002079963372142,0.0003368529723957
replay,off,shared_only,1,B,B,0.5194301023613932,0.2212746297593871,0.0559131132683043,0.5,0.9099813843896372,0.0002510809361249,0.000369017473713
replay,off,shared_only,1,C,A,0.5632122036688141,0.1747249380868575,0.042114225386679,0.704225352112676,0.9474982513789288,3.729333382479313e-05,8.37418920127675e-05
replay,off,shared_only,1,C,B,0.5481890161784914,0.1737497207239802,0.0498296617381112,0.5882352941176471,0.9645652021563592,0.0002300043634531,0.0001346341035969
replay,off,shared_only,1,C,C,0.5661347042083632,0.1148195499257708,0.0905871921826986,0.7017543859649122,0.961756196484217,0.0006850826636153,0.0001197785531985
replay,off,shared_only,2,A,A,0.6172287426944782,0.3231563497643457,0.0915818680004829,0.746268656716418,0.9625684194955724,6.243354337925642e-05,4.5287430839380186e-05
replay,off,shared_only,2,B,A,0.6187592970254324,0.2927859482954933,0.0793395756252233,0.7936507936507936,0.964010083777826,2.5809224070345943e-05,1.7153612134279683e-05
replay,off,shared_only,2,B,B,0.575391267390481,0.2641219693487195,0.0741914343110539,0.6666666666666666,0.9359881333129824,0.0001858126635293,2.142818811989855e-05
replay,off,shared_only,2,C,A,0.584233193809378,0.1995855342683125,0.0568100173936423,0.746268656716418,0.9592508803342584,0.0003715749946008,0.001258113887161
replay,off,shared_only,2,C,B,0.5740415241052559,0.248690505802387,0.080129977847758,0.6578947368421053,0.9417462000170144,0.0004879791457667,0.0008954089076723
replay,off,shared_only,2,C,C,0.5901403523217764,0.2030190612681492,0.1223159808835345,0.7142857142857143,0.955540502585742,0.0023837420768667,0.0007520189974457
distill,off,shared_only,0,A,A,0.6316304262832221,0.335902470531302,0.0972645882888164,0.7936507936507936,0.9656671394725992,3.586557128361559e-05,2.8152127924840897e-05
distill,off,shared_only,0,B,A,0.5756721016252426,0.1134494816320528,0.0184555524221913,0.7936507936507936,0.9764023402105876,0.0004133626995315,0.0023028205614537
distill,off,shared_only,0,B,B,0.5586118664988294,0.215658160721963,0.0599662463176596,0.6666666666666666,0.925384129393929,0.0011082873307754,0.001555320963962
distill,off,shared_only,0,C,A,0.5694803452711609,0.1301430177797083,0.035977986158261,0.746268656716418,0.9675060328507088,0.0030876286748946,0.0170206669718027
distill,off,shared_only,0,C,B,0.515907506122869,0.14135222557314,0.0356744696210074,0.5555555555555556,0.9234776399323208,0.0068861668788585,0.0167856339365243
distill,off,shared_only,0,C,C,0.57977564079287,0.0718428352016138,0.074074074074074,0.8041958041958042,0.974382745246429,0.0330662180586577,0.0345751419663429
distill,off,shared_only,1,A,A,0.6268177640967277,0.3544983492222662,0.1072508902197832,0.746268656716418,0.9630354621625856,7.730895443758418e-05,4.168826490058564e-05
distill,off,shared_only,1,B,A,0.5972634734041777,0.2712683228670406,0.0945851026649639,0.704225352112676,0.958119294688104,0.000648872866336,0.002307734452188
distill,off,shared_only,1,B,B,0.5123818971208879,0.1926267746055339,0.0469607384159776,0.5,0.911160986291464,0.001390643348158,0.0038559520617127
distill,off,shared_only,1,C,A,0.5544798358251423,0.1119204249511544,0.0283222004019793,0.704225352112676,0.9639656008299508,0.0022381218069924,0.01096913497895
distill,off,shared_only,1,C,B,0.5202669868495317,0.1657914449799518,0.0410145849297595,0.5555555555555556,0.9194866743911956,0.0100339078754244,0.0140233279671519
distill,off,shared_only,1,C,C,0.5803167552182585,0.0740045299703125,0.0745548991035039,0.8041958041958042,0.974414271410836,0.0335745349792185,0.0372460633516311
distill,off,shared_only,2,A,A,0.6172287426944782,0.3231563497643457,0.0915818680004829,0.746268656716418,0.9625684194955724,6.243354337925642e-05,4.5287430839380186e-05
distill,off,shared_only,2,B,A,0.6192891682711942,0.2704831428239169,0.0755977775681875,0.7936507936507936,0.9783570636565362,0.0004801411612334,0.0014212956069968
distill,off,shared_only,2,B,B,0.5333749856290725,0.2264950680395282,0.0538908584558357,0.5434782608695652,0.9215053703902166,0.0021075996623209,0.0057274880819022
distill,off,shared_only,2,C,A,0.5710252853363813,0.1398527137448107,0.0391161817975087,0.746268656716418,0.9649444372115844,0.0029441248117011,0.0114354035817086
distill,off,shared_only,2,C,B,0.51974311466371,0.159123430327777,0.0395587843817417,0.5555555555555556,0.922238901526738,0.0062360771672909,0.019434421416372
distill,off,shared_only,2,C,C,0.580031994718459,0.0955459838743463,0.0816908115465298,0.782312925170068,0.9703051265006756,0.009413959232406,0.0141924358904361
replay_distill,off,shared_only,0,A,A,0.6316304262832221,0.335902470531302,0.0972645882888164,0.7936507936507936,0.9656671394725992,3.586557128361559e-05,2.8152127924840897e-05
replay_distill,off,shared_only,0,B,A,0.589396605092664,0.2145385728060518,0.0535213567852169,0.746268656716418,0.9663272195778166,6.678979309504828e-05,0.0001311564534262
replay_distill,off,shared_only,0,B,B,0.5489962396782617,0.1955861823844174,0.0564244375189943,0.6578947368421053,0.917537920822896,0.0009897828074526,0.0015545738919172
replay_distill,off,shared_only,0,C,A,0.6280751854264306,0.346460968452046,0.1085513398013724,0.746268656716418,0.9695474810811582,4.337347673983978e-05,4.962244929629378e-05
replay_distill,off,shared_only,0,C,B,0.5521997491039026,0.213222486728364,0.0617995926455217,0.6578947368421053,0.9140409646517608,0.00050748554264,0.0002354578136873
replay_distill,off,shared_only,0,C,C,0.5799913252125086,0.0718428352016138,0.074074074074074,0.8041958041958042,0.9749219562955256,0.0204607477033841,0.034030545502901
replay_distill,off,shared_only,1,A,A,0.6268177640967277,0.3544983492222662,0.1072508902197832,0.746268656716418,0.9630354621625856,7.730895443758418e-05,4.168826490058564e-05
replay_distill,off,shared_only,1,B,A,0.6346512732441217,0.3133283554391357,0.0937969226390605,0.8208955223880597,0.9726177828771764,7.872794208456212e-05,8.025423448998481e-05
